fill_id,datetime_utc,date,market_question,market_id_short,side,action_plain,size_shares,price,notional_usd,mid,edge_vs_mid_cents,inv_yes_after,inv_no_after,net_inv_after,cash_after,fee,rebate
1,2026-05-14T00:04:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),168.346,0.46,77.4393,0.38,-8,168.346,0,168.346,9922.56,0,0
2,2026-05-14T00:05:00+00:00,2026-05-14,Will Harry Kane win the 2026 Ballon d'Or?,0x12dc2b61,buy_yes,Bought YES (bid hit),26.6721,0.2,5.3344,0.176,-2.4,26.6721,0,26.6721,9917.23,0,0
3,2026-05-14T00:08:00+00:00,2026-05-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.37,38.2136,0.235,-13.5,103.28,0,103.28,9879.01,0,0
4,2026-05-14T00:15:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,65.0664,0,65.0664,9911.03,0,0
5,2026-05-14T00:36:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9916.68,0,0
6,2026-05-14T00:38:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9885.69,0,0
7,2026-05-14T00:51:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9917.71,0,0
8,2026-05-14T00:57:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.275,-2.5,103.28,38.2136,65.0664,9886.73,0,0
9,2026-05-14T01:00:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.33,-2,0,38.2136,-38.2136,9918.74,0,0
10,2026-05-14T01:10:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9887.76,0,0
11,2026-05-14T01:12:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.33,-2,0,38.2136,-38.2136,9919.78,0,0
12,2026-05-14T01:14:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.58,59.9024,0.535,-4.5,103.28,0,103.28,9859.87,0,0
